Id,ClientId,TotalWIP,LastWIPDate,TotalAR,LastBillDate,TrustFundsBalance,UnallocatedFundsBalance,RetainerFundsBalance,ClientCurrency,Processed,ProcessTimeStamp,LoadTimeStamp
59943, ,0,NULL,0,NULL,0,0,0,USD,0,NULL,2025-11-08 6:16
59944,10000004,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59945,10000006,542.5,2025-05-14 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
59946,10000008,1125.7,2025-10-30 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
59947,10000014,17241.4,2025-11-11 0:00,19008.66,2025-10-16 0:00,0.16,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
59948,10000016,450.99,2025-10-10 0:00,603.6,2025-10-16 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
59949,10000018,3764.24,2025-11-07 0:00,3125.11,2025-10-20 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
59950,10000024,34722.08,2025-11-06 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
59951,10000026,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59952,10000028,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59953,10000034,0,NULL,0,NULL,0,0,0,USD,1,2020-07-16 6:30,2020-07-15 6:15
59954,10000036,0,NULL,6415.78,2025-11-12 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
59955,10000038,0,NULL,0,NULL,0,0,0,USD,1,2021-08-27 6:30,2021-08-26 6:05
59956,10000044,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59957,10000046,0,NULL,0,NULL,0,0,0,USD,1,2023-12-07 6:30,2023-12-06 6:31
59958,10000048,0,NULL,0,NULL,0,0,0,USD,1,2025-10-22 7:38,2025-10-21 17:15
59959,10000054,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59960,10000056,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59961,10000058,26949.38,2025-11-09 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
59962,10000064,133516.02,2025-11-12 0:00,567.79,2024-10-23 0:00,477.17,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
59963,10000066,0,NULL,0,NULL,0,0,0,USD,1,2020-09-10 6:30,2020-09-09 6:15
59964,10000068,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59965,10000074,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59966,10000076,0,NULL,0,NULL,0,0,0,USD,1,2023-02-23 6:30,2023-02-23 6:05
59967,10000078,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59968,10000084,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59969,10000086,0,NULL,0,NULL,0,0,0,USD,1,2025-09-12 7:30,2025-09-12 6:16
59970,10000088,0,NULL,0,NULL,0,0,0,USD,1,2019-06-27 6:30,2019-06-26 6:15
59971,10000094,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59972,10000096,49389.46,2025-11-12 0:00,239937.49,2025-11-12 0:00,-168.69,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
59973,10000098,0,NULL,0,NULL,0,0,0,USD,1,2025-05-25 7:30,2025-05-25 2:14
59974,10000104,128400.04,2025-11-12 0:00,59144.35,2025-11-03 0:00,-10.88,92.14,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
59975,10000106,0,NULL,0,NULL,0,0,0,USD,1,2020-06-20 6:30,2020-06-19 6:15
59976,10000108,0,NULL,0,NULL,147.36,0,0,USD,1,2024-05-16 6:30,2024-05-15 6:16
59977,10000114,0,NULL,0,NULL,1422.38,0,0,USD,1,2022-12-21 6:30,2022-12-21 6:05
59978,10000116,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59979,10000118,6958.69,2025-11-06 0:00,1555.83,2025-10-28 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
59980,10000124,0,NULL,0,NULL,-1.07,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59981,10000126,0,NULL,0,NULL,0,0,0,USD,1,2024-02-21 6:30,2024-02-20 9:01
59982,10000128,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59983,10000134,0,NULL,0,NULL,0,0,0,USD,1,2020-12-31 6:30,2020-12-31 6:15
59984,10000136,0,NULL,0,NULL,45.16,0,0,USD,1,2021-09-11 6:30,2021-09-10 6:05
59985,10000138,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59986,10000144,3132.78,2025-11-10 0:00,0,NULL,0,1.99,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
59987,10000146,0,NULL,0,NULL,0,0,0,USD,1,2019-10-29 6:30,2019-10-29 6:15
59988,10000148,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59989,10000154,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59990,10000156,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59991,10000158,0,NULL,0,NULL,0,0,0,USD,1,2023-09-24 6:31,2023-09-23 13:02
59992,10000164,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59993,10000166,3634.07,2025-11-05 0:00,3496.17,2025-11-07 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
59994,10000168,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59995,10000174,2605.8,2025-11-03 0:00,19706.32,2025-10-31 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
59996,10000176,0,NULL,0,NULL,0,0,0,USD,1,2019-07-20 6:30,2019-07-19 6:15
59997,10000178,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
59998,10000184,21158.76,2025-11-12 0:00,15403.97,2025-10-28 0:00,-48.38,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
59999,10000186,0,NULL,0,NULL,0,0,0,USD,1,2019-11-27 6:30,2019-11-27 6:15
60000,10000188,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60001,10000194,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60002,10000196,1455.13,2025-11-06 0:00,903.15,2025-11-07 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60003,10000198,0,NULL,0,NULL,0,0,0,USD,1,2024-08-15 7:30,2024-08-15 6:15
60004,10000204,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60005,10000206,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60006,10000208,880.69,2018-05-31 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60007,10000214,0,NULL,0,NULL,0,0,0,USD,1,2021-03-21 6:30,2021-03-20 12:16
60008,10000216,2359.89,2025-10-07 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60009,10000218,13114.5,2025-10-31 0:00,78903.5,2025-10-08 0:00,0,0,0,USD,1,2025-11-08 6:31,2025-11-08 6:16
60010,10000224,0,NULL,0,NULL,0,0,0,USD,1,2020-06-10 6:30,2020-06-09 6:15
60011,10000226,15401.87,2025-11-12 0:00,44686.24,2025-11-11 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60012,10000228,21243.69,2025-11-11 0:00,62508.11,2025-10-31 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60013,10000234,326929.45,2025-11-12 0:00,109740.36,2025-10-15 0:00,652.42,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60014,10000236,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60015,10000238,0,NULL,0,NULL,0,0,0,USD,1,2021-07-21 6:30,2021-07-20 6:05
60016,10000244,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60017,10000246,0,NULL,0,NULL,0,0,0,USD,1,2023-08-18 6:30,2023-08-17 6:05
60018,10000248,0,NULL,0,NULL,0,0,0,USD,1,2025-05-14 7:30,2025-05-14 6:15
60019,10000254,82081.08,2025-11-11 0:00,107558.37,2025-10-21 0:00,143071.32,19116.44,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60020,10000256,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60021,10000258,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60022,10000264,0,NULL,0,NULL,0,0,0,USD,1,2023-07-20 6:30,2023-07-19 6:05
60023,10000266,0,NULL,0,NULL,33306.64,0,0,USD,1,2024-07-14 7:53,2024-07-13 11:31
60024,10000268,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60025,10000274,0,NULL,0,NULL,0,0,0,USD,1,2023-11-04 6:31,2023-11-04 6:16
60026,10000276,0,NULL,0,NULL,0,0,0,USD,1,2025-02-19 6:30,2025-02-19 6:15
60027,10000278,0,NULL,0,NULL,0,0,0,USD,1,2025-05-09 7:30,2025-05-09 6:15
60028,10000284,6247.63,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60029,10000286,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60030,10000294,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60031,10000296,0,NULL,0,NULL,0,0,0,USD,1,2019-12-27 6:30,2019-12-26 16:03
60032,10000298,0,NULL,0,NULL,0,0,0,USD,1,2019-07-11 6:30,2019-07-10 6:15
60033,10000304,0,NULL,0,NULL,0,0,0,USD,1,2021-06-05 6:30,2021-06-04 6:05
60034,10000306,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60035,10000308,168131.83,2025-11-11 0:00,206115.78,2025-11-12 0:00,5849.95,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60036,10000314,0,NULL,3555.28,2025-11-10 0:00,0,0,0,USD,1,2025-11-11 6:30,2025-11-11 6:16
60037,10000316,45376.22,2025-11-10 0:00,2242.61,2025-11-05 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60038,10000318,15410.28,2025-11-11 0:00,19081.41,2025-10-28 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60039,10000324,3291.6,2025-11-10 0:00,44071.05,2025-10-17 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60040,10000326,0,NULL,0,NULL,0,0,0,USD,1,2019-05-08 6:30,2019-05-07 6:15
60041,10000328,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60042,10000334,22718.45,2025-11-10 0:00,23242.6,2025-10-28 0:00,7233.63,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60043,10000001,0,NULL,0,NULL,0,0,0,USD,1,2023-08-03 6:30,2023-08-02 6:05
60044,10000002,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60045,10000003,1242.76,2025-10-23 0:00,4177.27,2025-10-27 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60046,10000005,0,NULL,0,NULL,0,0,0,USD,1,2025-09-19 7:30,2025-09-19 6:16
60047,10000007,4246.17,2025-11-12 0:00,5265.91,2025-10-22 0:00,-8.98,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60048,10000009,142.76,2020-03-23 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60049,10000010,0,NULL,0,NULL,0,0,0,USD,1,2023-05-07 6:30,2023-05-06 6:06
60050,10000011,5713.79,2025-10-14 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60051,10000012,0,NULL,0,NULL,0,0,0,USD,1,2022-05-26 6:30,2022-05-25 6:06
60052,10000013,0,NULL,0,NULL,725.25,0,0,USD,1,2023-10-27 6:30,2023-10-26 6:16
60053,10000015,0,NULL,0,NULL,0,0,0,USD,1,2023-05-27 6:30,2023-05-26 6:05
60054,10000017,0,NULL,0,NULL,0,0,0,USD,1,2025-08-26 7:30,2025-08-26 6:16
60055,10000019,12317.54,2025-11-07 0:00,8817.74,2025-10-15 0:00,-6.24,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60056,10000020,809.99,2025-10-24 0:00,1023.81,2025-10-16 0:00,-0.33,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60057,10000021,75.17,2025-10-06 0:00,89.03,2025-06-18 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60058,10000022,7583.04,2025-11-07 0:00,10998.65,2025-10-22 0:00,110.73,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60059,10000023,3795.82,2025-10-20 0:00,480.04,2025-10-15 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60060,10000025,0,NULL,0,NULL,0,0,0,USD,1,2024-05-09 6:30,2024-05-08 6:16
60061,10000027,200711.49,2025-11-12 0:00,127611.76,2025-11-12 0:00,1886.08,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60062,10000029,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60063,10000030,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
