LastUpdateDT,UNIT,COMPANY_CODE,COMPANY_REGION_SRC,PROFIT_CENTER_CODE,COST_CENTER_CODE,GL_ACCOUNT_CODE,FE_CODE,FE_PRACTICE_GROUP_CODE,FE_OFFICE_CODE,FE_TEAM_CODE,LEAD_PARTNER_CODE,LEAD_PARTNER_PRACTICE_GROUP_CODE,LEAD_PARTNER_OFFICE_CODE,LEAD_PARTNER_TEAM_CODE,MATTER_CODE,VENDOR_CODE,DOCUMENT_TEXT,DOCUMENT_DATE,DOCUMENT_NUMBER,DOCUMENT_TYPE_CODE,POSTING_PERIOD,POSTING_DATE,DOCUMENT_CURRENCY_CODE,ACTUAL_AMOUNT_DC,OFFICE_CURRENCY_CODE,ACTUAL_AMOUNT_OC,GROUP_CURRENCY_CODE,ACTUAL_AMOUNT_GC,BUDGET_AMOUNT_GC,FORECAST_AMOUNT_GC
30/03/2026,ACTUAL,CA11,NRFC,MTR1,NYC1BF1281,4000000000,,BF,NYC1,1281,102605,BF,MTR1,1250,1001127725,IVUS11, ,20260216,1900271127,KR,202602,20260216,CAD,-263.34,CAD,-263.34,USD,-199.0672,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1DR1754,4000000000,,DR,TOR1,1754,102627,CS,TOR1,1501,1001291077,#,#,20260205,9090840067,RV,202602,20260205,USD,6282.95,CAD,8662.47,USD,6548.2398,0,0
30/03/2026,ACTUAL,CA11,NRFC,MTR1,NYC1BF1281,4000000000,,BF,NYC1,1281,102605,BF,MTR1,1250,1001127725,IVUS11, ,20260216,1900271127,KR,202602,20260216,CAD,39.5,CAD,39.5,USD,29.8593,0,0
30/03/2026,Actual,CA11,NRFC,QUE1,QUE1IP2251,4310000000,,IP,QUE1,2251,102371,IP,QUE1,2251,1001187586,#,#,20260203,8000065632,RC,202602,20260203,CAD,-420,CAD,-420,USD,-317.4915,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1CS1501,4000000000,,CS,TOR1,1501,102148,DR,MTR1,1754,1000166184,#,#,20260220,9090843206,RV,202602,20260220,CAD,849,CAD,849,USD,641.7864,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1TX2750,4000000000,,TX,TOR1,2750,102422,TX,TOR1,2750,1001374197,#,#,20260226,9090844859,RV,202602,20260226,USD,54981.87,CAD,75805.15,USD,57303.5521,0,0
30/03/2026,Actual,CA11,NRFC,VAN1,VAN1DR1754,4000000000,,DR,VAN1,1754,144512,DR,VAN1,1754,1001355538,#,#,20250827,100358335,AB,202602,20260213,CAD,-1856,CAD,-1856,USD,-1403.0101,0,0
30/03/2026,Actual,CA11,NRFC,VAN1,VAN1EL2000,4000000000,,EL,VAN1,2000,144501,EL,VAN1,2000,1000387834,#,#,20260219,9090842472,RV,202602,20260219,CAD,12559,CAD,12559,USD,9493.7522,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,PAR1TX2758,4003000000,,TX,PAR1,2758,103047,CS,MTR1,1501,1001351318,#,#,20260227,9090845325,RV,202602,20260227,CAD,-1347.16,CAD,-1347.16,USD,-1018.3616,0,0
30/03/2026,Actual,CA11,NRFC,VAN1,FRA1BF1259,4000000000,,BF,FRA1,1259,144476,CS,VAN1,1501,1001162855,#,#,20260218,9090842024,RV,202602,20260218,USD,11606.32,CAD,16001.98,USD,12096.4116,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,MTR1CS1501,4000000000,,CS,MTR1,1501,102761,TX,MTR1,2750,1001198835,#,#,20260226,9090844736,RV,202602,20260226,CAD,360,CAD,360,USD,272.1356,0,0
30/03/2026,Actual,CA11,NRFC,VAN1,VAN1BF1250,4000000000,,BF,VAN1,1250,144488,CS,VAN1,1501,1001119004,#,#,20260226,9090844833,RV,202602,20260226,CAD,864.5,CAD,864.5,USD,653.5034,0,0
30/03/2026,Actual,CA11,NRFC,QUE1,QUE1RE2500,4000000000,,RE,QUE1,2500,102161,TX,QUE1,2750,1001368894,#,#,20260223,9090843662,RV,202602,20260223,CAD,300,CAD,300,USD,226.7797,0,0
30/03/2026,Actual,CA11,NRFC,VAN1,VAN1IP2253,4000000000,,IP,VAN1,2253,103815,IP,VAN1,2253,1001256800,#,#,20260227,9090845863,RV,202602,20260227,USD,617.65,CAD,851.57,USD,643.7292,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1CS1501,4000000000,,CS,TOR1,1501,102960,CS,TOR1,1501,1001298595,#,#,20260219,9090842808,RV,202602,20260219,USD,5000,CAD,6893.65,USD,5211.1319,0,0
30/03/2026,Actual,CA11,NRFC,VAN1,VAN1NANA,6150000000,,NA,VAN1,NA,144365,CS,VAN1,1501,1000376144,#,#,20260219,9090842321,RV,202602,20260219,CAD,-125,CAD,-125,USD,-94.4915,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,MTR1EL2000,4000000000,,EL,MTR1,2000,102349,EL,MTR1,2000,1001343803,#,#,20260226,9090844709,RV,202602,20260226,CAD,149,CAD,149,USD,112.6339,0,0
30/03/2026,Actual,CA11,NRFC,VAN1,VAN1EL2000,4003000000,,EL,VAN1,2000,153526,EL,VAN1,2000,1001339874,#,#,20260227,9090845757,RV,202602,20260227,CAD,-292,CAD,-292,USD,-220.7322,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,MTR1IP2252,4003000000,,IP,MTR1,2252,102161,TX,QUE1,2750,1001293142,#,#,20260202,9090839720,RV,202602,20260202,CAD,-60,CAD,-60,USD,-45.3559,0,0
30/03/2026,Actual,CA11,NRFC,CAL1,CAL1PD5011,4000000000,,PD,CAL1,5011,144485,CS,VAN1,1501,1001128710,#,#,20260219,9090842328,RV,202602,20260219,CAD,3311,CAD,3311,USD,2502.8914,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1CS1501,4000000000,,CS,TOR1,1501,102960,CS,TOR1,1501,1001275965,#,#,20260220,9090842953,RV,202602,20260220,USD,17019,CAD,23464.61,USD,17737.6537,0,0
30/03/2026,Actual,CA11,NRFC,CAL1,CAL1IP2251,4000000000,,IP,CAL1,2251,102414,BF,TOR1,1250,1001263014,#,#,20260227,9090845692,RV,202602,20260227,CAD,3498.6,CAD,3498.6,USD,2644.7043,0,0
30/03/2026,Actual,CA11,NRFC,OTT1,OTT1AC1000,4000000000,,AC,OTT1,1000,104406,AC,OTT1,1000,1001171894,#,#,20260227,9090845475,RV,202602,20260227,CAD,440,CAD,440,USD,332.6102,0,0
30/03/2026,Actual,CA11,NRFC,OTT1,OTT1DR1754,4000000000,,DR,OTT1,1754,142038,DR,OTT1,1754,1001246825,#,#,20260217,9090841819,RV,202602,20260217,CAD,187,CAD,187,USD,141.3593,0,0
30/03/2026,Actual,CA11,NRFC,OTT1,OTT1DR1754,4003000000,,DR,OTT1,1754,102118,CS,MTR1,1501,1000311025,#,#,20260217,9090841663,RV,202602,20260217,CAD,-187.88,CAD,-187.88,USD,-142.0245,0,0
30/03/2026,Actual,CA11,NRFC,VAN1,VAN1DR1754,4000000000,,DR,VAN1,1754,144512,DR,VAN1,1754,1001365622,#,#,20260220,9090843302,RV,202602,20260220,CAD,4976.5,CAD,4976.5,USD,3761.8965,0,0
30/03/2026,Actual,CA11,NRFC,QUE1,QUE1DR1754,4000000000,,DR,QUE1,1754,103778,CS,MTR1,1501,1001371467,#,#,20260209,100358233,AB,202602,20260211,CAD,-4120,CAD,-4120,USD,-3114.4406,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,MTR1IP2251,4000000000,,IP,MTR1,2251,104430,IP,MTR1,2251,1001310366,#,#,20260213,9090840760,RV,202602,20260213,CAD,675,CAD,675,USD,510.2542,0,0
