Id,MatterId,TotalWIP,LastWIPDate,TotalAR,LastBillDate,TrustFundsBalance,UnallocatedFundsBalance,RetainerFundsBalance,MatterCurrency,Processed,ProcessTimeStamp,LoadTimeStamp
1223285,1001368378,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-13 6:16
1223284,1001368357,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-13 6:16
1223283,1001368350,8217.1,2025-11-12 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-13 6:16
1223282,1001368337,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-13 6:16
1223281,1001368400,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-13 6:16
1223280,1001368360,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:42,2025-11-13 6:16
1223279,1001368385,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-13 6:16
1223278,1001368376,346,2025-11-10 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-13 6:16
1223277,1001368351,79.23,2025-11-12 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:42,2025-11-13 6:16
1223276,1001368349,663.14,2025-11-10 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:42,2025-11-13 6:16
1223275,1001368377,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:04,2025-11-13 6:16
1223274,1001368380,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:39,2025-11-13 6:16
1223273,1001368382,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:02,2025-11-13 6:16
1223272,1001368381,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:39,2025-11-13 6:16
1223271,1001368368,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:34,2025-11-13 6:16
1223270,1001368367,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:56,2025-11-13 6:16
1223269,1001368408,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:38,2025-11-13 6:16
1223268,1001368375,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:38,2025-11-13 6:16
1223267,1001368374,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:41,2025-11-13 6:16
1223266,1001368369,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:41,2025-11-13 6:16
1223265,1001368405,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:37,2025-11-13 6:16
1223264,1001368342,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:15,2025-11-13 6:16
1223263,1001368398,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:14,2025-11-13 6:16
1223262,1001368366,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:33,2025-11-13 6:16
1223261,1001368389,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:32,2025-11-13 6:16
1223260,1001368388,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:14,2025-11-13 6:16
1223259,1001368354,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:12,2025-11-13 6:16
1223258,1001368340,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:44,2025-11-13 6:15
1223257,1001368345,0,NULL,0,NULL,7132.11,0,0,USD,1,2025-11-13 7:10,2025-11-13 6:16
1223256,1001368384,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:47,2025-11-13 6:16
1223255,1001368379,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:43,2025-11-13 6:15
1223254,1001368406,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:50,2025-11-13 6:15
1223253,1001368391,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:52,2025-11-13 6:16
1223252,1001368387,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:53,2025-11-13 6:16
1223251,1001368409,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:49,2025-11-13 6:16
1223250,1001368390,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:52,2025-11-13 6:16
1223249,1001368392,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:51,2025-11-13 6:16
