LastUpdateDT,CALENDAR_DAY,CALENDAR_DAY_STRING,REGION_SRC,TIMEKEEPER_ID,GENDER,PRACTICE_GROUP_CODE,OFFICE_CODE,TEAM_CODE,EMP_GROUP_CODE,EMP_SUB_GROUP_CODE,BAND_GROUP_CODE,BAND_LEVEL_CODE,FTE,EMPLOYMENT_STATUS_CODE,EMPLOYMENT_STATUS_DESC,WORKDAY_FLAG,WEEKEND_FLAG,HOLIDAY_FLAG,CAL_YEAR,CAL_PERIOD,TARGET_HOURS,BILLABLE_HOURS,NON_BILLABLE_HOURS,PRO_BONO_HOURS,FIRM_RELATED_HOURS,LEAVE_HOURS,PART_TIME_HOURS
30/03/2026,20/02/2026,20260220,NRFC,145003,M,MX,TOR1,4501,B,BM,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,145141,F,CS,VAN1,1501,L,LA,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,145154,F,DR,MTR1,1754,T,TT,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,145178,F,DR,MTR1,1754,L,LA,,,0.8,3,Active,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,145187,F,PS,TOR1,5272,B,BM,,,1,3,Active,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,145319,F,OS,TOR1,4752,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,145371,F,DR,QUE1,1754,A,AA,AS,A1,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,145373,M,DR,QUE1,1754,A,AB,AS,A5,1,3,Active,1,0,0,2026,202602,7,8.9,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,145398,M,IT,TOR1,4000,B,BC,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,145415,M,CS,VAN1,1501,A,AB,AS,A5,1,3,Active,1,0,0,2026,202602,7,8.8,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,145428,F,KX,TOR1,4255,B,BN,PU,U3,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,145517,F,IT,MTR1,4034,B,BC,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
